ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
6600,2025,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,9565,Expenses,Other Governmental Funds
6601,2025,City Attorney,General Fund,City Property,13750,Expenses,Fund Total
6602,2025,City Attorney,General Fund,Employee Services,15534095,Expenses,Fund Total
6603,2025,City Attorney,General Fund,Intergovernmental,52000,Revenues,Fund Total
6604,2025,City Attorney,General Fund,Labor and Supply Offset,-4556444,Expenses,Fund Total
6605,2025,City Attorney,General Fund,Other Services and Supplies,529589,Expenses,Fund Total
6606,2025,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2652049,Expenses,Other Governmental Funds
6607,2025,City Attorney,Measure U Fund,Labor and Supply Offset,279402,Expenses,Fund Total
6608,2025,City Attorney,Storm Drainage Fund,Labor and Supply Offset,73333,Expenses,Enterprise Funds
6609,2025,City Attorney,Wastewater Fund,Labor and Supply Offset,54203,Expenses,Enterprise Funds
6610,2025,City Attorney,Water Fund,Labor and Supply Offset,181739,Expenses,Enterprise Funds
6611,2025,City Clerk,General Fund,"Charges, Fees, and Services",2000,Revenues,Fund Total
6612,2025,City Clerk,General Fund,City Property,2000,Expenses,Fund Total
6613,2025,City Clerk,General Fund,Employee Services,3517146,Expenses,Fund Total
6614,2025,City Clerk,General Fund,Intergovernmental,40000,Revenues,Fund Total
6615,2025,City Clerk,General Fund,Labor and Supply Offset,-993453,Expenses,Fund Total
6616,2025,City Clerk,General Fund,Multi-Year Operating Projects,1750,Expenses,Fund Total
6617,2025,City Clerk,General Fund,Other Services and Supplies,625682,Expenses,Fund Total
6618,2025,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,993453,Expenses,Other Governmental Funds
6619,2025,City Manager,2003 North Sac TE TABS,Other Services and Supplies,9000,Expenses,Other Governmental Funds
6620,2025,City Manager,Block Grant/Housing and Redev,Intergovernmental,29250,Revenues,Other Governmental Funds
6621,2025,City Manager,Block Grant/Housing and Redev,Other Services and Supplies,29250,Expenses,Other Governmental Funds
6622,2025,City Manager,General Fund,"Charges, Fees, and Services",186300,Revenues,Fund Total
6623,2025,City Manager,General Fund,City Property,22326,Expenses,Fund Total
6624,2025,City Manager,General Fund,Employee Services,6481426,Expenses,Fund Total
6625,2025,City Manager,General Fund,Labor and Supply Offset,-1638111,Expenses,Fund Total
6626,2025,City Manager,General Fund,Licenses and Permits,3611924,Revenues,Fund Total
6627,2025,City Manager,General Fund,Multi-Year Operating Projects,1454646,Expenses,Fund Total
6628,2025,City Manager,General Fund,Other Services and Supplies,1125138,Expenses,Fund Total
6629,2025,City Manager,Innovation and Growth Fund,Employee Services,396914,Expenses,Other Governmental Funds
6630,2025,City Manager,Innovation and Growth Fund,Multi-Year Operating Projects,-14200678,Expenses,Other Governmental Funds
6631,2025,City Manager,Innovation and Growth Fund,Other Services and Supplies,484000,Expenses,Other Governmental Funds
6632,2025,City Manager,Interdepartmental Service Fund,Labor and Supply Offset,1557424,Expenses,Other Governmental Funds
6633,2025,City Manager,Measure U Fund,City Property,2000,Expenses,Fund Total
6634,2025,City Manager,Measure U Fund,Employee Services,5544170,Expenses,Fund Total
6635,2025,City Manager,Measure U Fund,Labor and Supply Offset,-183444,Expenses,Fund Total
6636,2025,City Manager,Measure U Fund,Multi-Year Operating Projects,715754,Expenses,Fund Total
6637,2025,City Manager,Measure U Fund,Other Services and Supplies,897078,Expenses,Fund Total
6638,2025,City Treasurer,General Fund,"Charges, Fees, and Services",120000,Revenues,Fund Total
